RxnID	Comps	Eq	Subs	Type
HMR_4128	c	UDP-galactose[c] <=> UDP-glucose[c]	Galactose metabolism	Core
HMR_4130	c	ATP[c] + galactose[c] => ADP[c] + alpha-D-galactose-1-phosphate[c]	Galactose metabolism	Core
HMR_4131	c	glucose-1-phosphate[c] + UDP-galactose[c] <=> alpha-D-galactose-1-phosphate[c] + UDP-glucose[c]	Galactose metabolism	Core
HMR_4132	c	galactose-1-phosphate[c] + UDP-glucose[c] => glucose-1-phosphate[c] + UDP-galactose[c]	Galactose metabolism	Core
HMR_4303	s	H2O[s] + sucrose[s] => fructose[s] + glucose[s]	Galactose metabolism	Core
HMR_4414	c	ATP[c] + galactose[c] => ADP[c] + galactose-1-phosphate[c]	Galactose metabolism	Core
HMR_4416	s	galactosylglycerol[s] + H2O[s] => galactose[s] + glycerol[s]	Galactose metabolism	Core
HMR_4774	c	CDP[c] + tagatose-1,6-bisphosphate[c] <=> CTP[c] + D-tagatose-6-phosphate[c]	Galactose metabolism	Core
HMR_4775	c	D-tagatose-6-phosphate[c] + ITP[c] <=> IDP[c] + tagatose-1,6-bisphosphate[c]	Galactose metabolism	Core
HMR_8762	c	D-tagatose-6-phosphate[c] <=> DHAP[c] + glyceraldehyde[c]	Galactose metabolism	Core
HMR_8767	c	alpha-D-galactose-1-phosphate[c] + UTP[c] => PPi[c] + UDP-galactose[c]	Galactose metabolism	Core
HMR_4297	c	ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-2,6-bisphosphate[c]	Fructose and mannose metabolism	Core
HMR_4315	c	D-glucitol[c] + NAD+[c] <=> fructose[c] + H+[c] + NADH[c]	Fructose and mannose metabolism	Core
HMR_4316	c	D-glucitol[c] + NADP+[c] <=> glucose[c] + H+[c] + NADPH[c]	Fructose and mannose metabolism	Core
HMR_4319	c	ATP[c] + fructose[c] => ADP[c] + fructose-6-phosphate[c]	Fructose and mannose metabolism	Core
HMR_4383	c	fructose-6-phosphate[c] <=> mannose-6-phosphate[c]	Fructose and mannose metabolism	Core
HMR_4385	c	mannose-6-phosphate[c] => mannose-1-phosphate[c]	Fructose and mannose metabolism	Core
HMR_4386	c	GDP[c] + mannose-1-phosphate[c] => GDP-mannose[c] + Pi[c]	Fructose and mannose metabolism	Core
HMR_4387	c	GTP[c] + mannose-1-phosphate[c] => GDP-mannose[c] + PPi[c]	Fructose and mannose metabolism	Core
HMR_4399	c	GDP-mannose[c] => GDP-4-dehydro-6-deoxy-D-mannose[c] + H2O[c]	Fructose and mannose metabolism	Core
HMR_4400	c	GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADH[c] => GDP-L-fucose[c] + NAD+[c]	Fructose and mannose metabolism	Core
HMR_4401	c	GDP-L-fucose[c] + PPi[c] <=> GTP[c] + L-fucose-1-phosphate[c]	Fructose and mannose metabolism	Core
HMR_4402	c	6-deoxy-L-galactose[c] + ATP[c] <=> ADP[c] + L-fucose-1-phosphate[c]	Fructose and mannose metabolism	Core
HMR_4490	c	ATP[c] + mannose[c] => ADP[c] + mannose-6-phosphate[c]	Fructose and Mannose metabolism	Core
HMR_4706	c	fructose-2,6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c]	Fructose and Mannose metabolism	Core
HMR_8768	c	GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADPH[c] => GDP-L-fucose[c] + NADP+[c]	Fructose and Mannose metabolism	Core
HMR_4590	c	H+[c] + L-xylulose[c] + NADPH[c] => NADP+[c] + xylitol[c]	Pentose and glucuronate interconversions	Core
HMR_4591	c	NAD+[c] + xylitol[c] => H+[c] + L-xylulose[c] + NADH[c]	Pentose and glucuronate interconversions	Core
HMR_4592	c	D-xylose[c] + H+[c] + NADPH[c] <=> NADP+[c] + xylitol[c]	Pentose and glucuronate interconversions	Core
HMR_8727	c	H2O[c] + UDP-glucuronate[c] => D-glucuronate 1-phosphate[c] + UMP[c]	Pentose and glucuronate interconversions	Core
HMR_8729	c	H2O[c] + UDP-glucuronate[c] => glucuronate[c] + UDP[c]	Pentose and glucuronate interconversions	Core
HMR_6537	c	glucuronate[c] + H+[c] + NADPH[c] <=> L-gulonate[c] + NADP+[c]	Pentose and glucuronate interconversions	Core
HMR_1568	c	acetaldehyde[c] + H2O[c] + NAD+[c] => acetate[c] + H+[c] + NADH[c]	Pyruvate metabolism	Core
HMR_3853	c	GSH[c] + methylglyoxal[c] => (R)-S-lactoylglutathione[c]	Pyruvate metabolism	Core
HMR_3855	c	H+[c] + lactaldehyde[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]	Pyruvate metabolism	Core
HMR_3857	c	(R)-S-lactoylglutathione[c] + H2O[c] => D-lactate[c] + GSH[c]	Pyruvate metabolism	Core
HMR_3859	m	D-lactate[c] + 2 ferricytochrome C[m] => 2 ferrocytochrome C[m] + 2 H+[c] + pyruvate[c]	Pyruvate metabolism	Core
HMR_4087	m	malate[m] + NAD+[m] => CO2[m] + H+[m] + NADH[m] + pyruvate[m]	Pyruvate metabolism	Core
HMR_4091	m	malate[m] + NADP+[m] => CO2[m] + H+[m] + NADPH[m] + pyruvate[m]	Pyruvate metabolism	Core
HMR_4103	m	GTP[m] + OAA[m] => CO2[m] + GDP[m] + PEP[m]	Pyruvate metabolism	Core
HMR_4143	m	ATP[m] + H+[m] + HCO3-[m] + pyruvate[m] => ADP[m] + OAA[m] + Pi[m]	Pyruvate metabolism	Core
HMR_4193	c	CDP[c] + PEP[c] => CTP[c] + pyruvate[c]	Pyruvate metabolism	Core
HMR_8497	c	H+[c] + methylglyoxal[c] + NADPH[c] => hydroxyacetone[c] + NADP+[c]	Pyruvate metabolism	Core
HMR_8500	c	H+[c] + hydroxyacetone[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]	Pyruvate metabolism	Core
HMR_8501	c	H+[c] + methylglyoxal[c] + NADPH[c] => D-lactaldehyde[c] + NADP+[c]	Pyruvate metabolism	Core
HMR_8502	c	(R)-S-lactoylglutathione[c] + H+[c] + NADH[c] <=> D-lactaldehyde[c] + GSH[c] + NAD+[c]	Pyruvate metabolism	Core
HMR_8503	c	H2O[c] + lactaldehyde[c] + NAD+[c] => H+[c] + L-lactate[c] + NADH[c]	Pyruvate metabolism	Core
HMR_8504	c	D-lactaldehyde[c] + H2O[c] + NAD+[c] => D-lactate[c] + H+[c] + NADH[c]	Pyruvate metabolism	Core
HMR_8507	c	NAD+[c] + propane-1,2-diol[c] => D-lactaldehyde[c] + H+[c] + NADH[c]	Pyruvate metabolism	Core
HMR_8508	c	NAD+[c] + propane-1,2-diol[c] => H+[c] + lactaldehyde[c] + NADH[c]	Pyruvate metabolism	Core
HMR_8509	c	D-lactaldehyde[c] + H+[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]	Pyruvate metabolism	Core
HMR_8514	m	2 ferricytochrome C[m] + L-lactate[c] => 2 ferrocytochrome C[m] + 2 H+[c] + pyruvate[c]	Pyruvate metabolism	Core
HMR_8516	c	DHAP[c] => methylglyoxal[c] + Pi[c]	Pyruvate metabolism	Core
HMR_4280	m	H+[m] + NADH[m] + pyruvate[m] <=> L-lactate[m] + NAD+[m]	Pyruvate metabolism	Core
HMR_0153	c	AMP[c] + PPi[c] + propanoyl-CoA[c] <=> ATP[c] + CoA[c] + propanoate[c]	Propanoate metabolism	Core
HMR_3212	m	FAD[m] + propanoyl-CoA[m] <=> acrylyl-CoA[m] + FADH2[m]	Propanoate metabolism	Core
HMR_3797	m	AMP[m] + PPi[m] + propanoyl-CoA[m] <=> ATP[m] + CoA[m] + propanoate[m]	Propanoate metabolism	Core
HMR_4105	c	malonyl-CoA[c] => acetyl-CoA[c] + CO2[c]	Propanoate metabolism	Core
HMR_4106	m	malonyl-CoA[m] => acetyl-CoA[m] + CO2[m]	Propanoate metabolism	Core
HMR_4282	m	3-oxopropanoate[m] + CoA[m] + NAD+[m] => acetyl-CoA[m] + CO2[m] + H+[m] + NADH[m]	Propanoate metabolism	Core
HMR_4331	c	AMP[c] + propanoyl-CoA[c] <=> CoA[c] + propinol adenylate[c]	Propanoate metabolism	Core
HMR_4459	c	ATP[c] + propanoate[c] <=> PPi[c] + propinol adenylate[c]	Propanoate metabolism	Core
HMR_4460	m	ATP[m] + propanoate[m] <=> PPi[m] + propinol adenylate[m]	Propanoate metabolism	Core
HMR_4497	m	hydracrylate[m] + NAD+[m] => 3-oxopropanoate[m] + H+[m] + NADH[m]	Propanoate metabolism	Core
HMR_4741	m	3-hydroxypropionyl-CoA[m] + H2O[m] => CoA[m] + hydracrylate[m]	Propanoate metabolism	Core
HMR_9804	m	3-hydroxypropionyl-CoA[m] + NADP+[m] <=> H+[m] + NADPH[m] + 3-oxopropionyl-CoA[m]	Propanoate metabolism	Core
HMR_1434	c	acetoacetyl-CoA[c] + CoA[c] <=> 2 acetyl-CoA[c]	Butanoate metabolism	Core
HMR_1436	c	acetoacetate[c] + ATP[c] + CoA[c] => acetoacetyl-CoA[c] + AMP[c] + PPi[c]	Butanoate metabolism	Core
HMR_3163	m	butyryl-CoA[m] + FAD[m] => crotonyl-CoA[m] + FADH2[m]	Butanoate metabolism	Core
HMR_4461	m	(R)-3-hydroxybutanoate[m] + NAD+[m] <=> acetoacetate[m] + H+[m] + NADH[m]	Butanoate metabolism	Core
HMR_4604	p	acetoacetyl-CoA[p] + acetyl-CoA[p] + H2O[p] => CoA[p] + HMG-CoA[p]	Butanoate metabolism	Core
HMR_5351	c	2-hydroxybutyrate[c] + NAD+[c] <=> 2-oxobutyrate[c] + H+[c] + NADH[c]	Butanoate metabolism	Core
HMR_4052	c	ATP[c] + ribose-5-phosphate[c] => AMP[c] + PRPP[c]	Pentose phosphate pathway	Core
HMR_4306	c	glucono-1,5-lactone-6-phosphate[c] + H+[c] + NADPH[c] <=> glucose-6-phosphate[c] + NADP+[c]	Pentose phosphate pathway	Core
HMR_4350	c	ADP[c] + ribose-5-phosphate[c] <=> ATP[c] + ribose[c]	Pentose phosphate pathway	Core
HMR_4351	r	ribose-5-phosphate[r] <=> ribulose-5-phosphate[r]	Pentose phosphate pathway	Core
HMR_4352	c	ribose-5-phosphate[c] <=> ribulose-5-phosphate[c]	Pentose phosphate pathway	Core
HMR_4354	c	ribose-1-phosphate[c] <=> ribose-5-phosphate[c]	Pentose phosphate pathway	Core
HMR_4398	c	2-deoxy-D-ribose-5-phosphate[c] <=> acetaldehyde[c] + GAP[c]	Pentose phosphate pathway	Core
HMR_4404	c	D-xylulose-5-phosphate[c] + erythrose-4-phosphate[c] <=> fructose-6-phosphate[c] + GAP[c]	Pentose phosphate pathway	Core
HMR_4474	c	6-phospho-D-gluconate[c] + NADP+[c] => CO2[c] + H+[c] + NADPH[c] + ribulose-5-phosphate[c]	Pentose phosphate pathway	Core
HMR_4477	c	D-xylulose-5-phosphate[c] <=> ribulose-5-phosphate[c]	Pentose phosphate pathway	Core
HMR_4501	c	D-xylulose-5-phosphate[c] + ribose-5-phosphate[c] <=> GAP[c] + sedoheptulose-7-phosphate[c]	Pentose phosphate pathway	Core
HMR_4565	c	GAP[c] + sedoheptulose-7-phosphate[c] <=> erythrose-4-phosphate[c] + fructose-6-phosphate[c]	Pentose phosphate pathway	Core
HMR_4567	c	ADP[c] + sedoheptulose-1,7-bisphosphate[c] <=> ATP[c] + sedoheptulose-7-phosphate[c]	Pentose phosphate pathway	Core
HMR_4568	c	sedoheptulose-1,7-bisphosphate[c] + UDP[c] <=> sedoheptulose-7-phosphate[c] + UTP[c]	Pentose phosphate pathway	Core
HMR_4625	c	glucono-1,5-lactone-6-phosphate[c] + H2O[c] => 6-phospho-D-gluconate[c]	Pentose phosphate pathway	Core
HMR_4710	c	2-deoxy-D-ribose-1-phosphate[c] <=> 2-deoxy-D-ribose-5-phosphate[c]	Pentose phosphate pathway	Core
HMR_4841	c	H+[c] + NADH[c] + ribose[c] <=> NAD+[c] + ribitol[c]	Pentose phosphate pathway	Core
HMR_8653	r	glucono-1,5-lactone-6-phosphate[r] + H+[r] + NADH[r] <=> glucose-6-phosphate[r] + NAD+[r]	Pentose phosphate pathway	Core
HMR_3998	c	ADP[c] + H2O[c] => AMP[c] + Pi[c]	Purine metabolism	Core
HMR_4000	c	ATP[c] => cAMP[c] + PPi[c]	Purine metabolism	Core
HMR_4002	c	2 ADP[c] <=> AMP[c] + ATP[c]	Purine metabolism	Core
HMR_4004	m	2 ADP[m] <=> AMP[m] + ATP[m]	Purine metabolism	Core
HMR_4010	c	AMP[c] + H2O[c] => adenosine[c] + Pi[c]	Purine metabolism	Core
HMR_4081	s	AMP[s] + H2O[s] => adenosine[s] + Pi[s]	Purine metabolism	Core
HMR_4012	c	adenosine[c] + ATP[c] => ADP[c] + AMP[c]	Purine metabolism	Core
HMR_4014	c	cAMP[c] + H2O[c] => AMP[c]	Purine metabolism	Core
HMR_4020	c	ADP[c] + GDP[c] <=> ATP[c] + GMP[c]	Purine metabolism	Core
HMR_4022	c	GTP[c] => cGMP[c] + PPi[c]	Purine metabolism	Core
HMR_4038	c	FAICAR[c] <=> H2O[c] + IMP[c]	Purine metabolism	Core
HMR_4040	c	H2O[c] + IMP[c] + NAD+[c] => H+[c] + NADH[c] + xanthosine-5-phosphate[c]	Purine metabolism	Core
HMR_4042	c	aspartate[c] + GTP[c] + IMP[c] => adenylosuccinate[c] + GDP[c] + Pi[c]	Purine metabolism	Core
HMR_4046	c	ATP[c] + glutamine[c] + H2O[c] + xanthosine-5-phosphate[c] => AMP[c] + glutamate[c] + GMP[c] + PPi[c]	Purine metabolism	Core
HMR_4048	c	cGMP[c] + H2O[c] => GMP[c]	Purine metabolism	Core
HMR_4080	c	AMP[c] + H2O[c] => IMP[c] + NH3[c]	Purine metabolism	Core
HMR_4085	c	AMP[c] + PPi[c] <=> adenine[c] + PRPP[c]	Purine metabolism	Core
HMR_4134	s	GDP[s] + H2O[s] => GMP[s] + Pi[s]	Purine metabolism	Core
HMR_4168	c	GTP[c] + H2O[c] => GMP[c] + PPi[c]	Purine metabolism	Core
HMR_4171	c	GDP[c] + PEP[c] => GTP[c] + pyruvate[c]	Purine metabolism	Core
HMR_4290	s	H2O[s] + ITP[s] => IDP[s] + Pi[s]	Purine metabolism	Core
HMR_4406	c	glutamine[c] + H2O[c] + PRPP[c] => 5-phosphoribosylamine[c] + glutamate[c] + PPi[c]	Purine metabolism	Core
HMR_4412	c	AMP[c] + fumarate[c] <=> adenylosuccinate[c]	Purine metabolism	Core
HMR_4417	c	H2O[c] + IMP[c] => inosine[c] + Pi[c]	Purine metabolism	Core
HMR_4418	c	IMP[c] + PPi[c] <=> hypoxanthine[c] + PRPP[c]	Purine metabolism	Core
HMR_4419	c	GMP[c] + H+[c] + NADPH[c] => IMP[c] + NADP+[c] + NH3[c]	Purine metabolism	Core
HMR_4421	c	dADP[c] + PEP[c] => dATP[c] + pyruvate[c]	Purine metabolism	Core
HMR_4449	c	GMP[c] + H2O[c] => guanosine[c] + Pi[c]	Purine metabolism	Core
HMR_4450	s	GMP[s] + H2O[s] => guanosine[s] + Pi[s]	Purine metabolism	Core
HMR_4452	c	GMP[c] + PPi[c] <=> guanine[c] + PRPP[c]	Purine metabolism	Core
HMR_4453	c	ATP[c] + NH3[c] + xanthosine-5-phosphate[c] => AMP[c] + GMP[c] + PPi[c]	Purine metabolism	Core
HMR_4480	c	ADP[c] + dADP[c] <=> ATP[c] + dAMP[c]	Purine metabolism	Core
HMR_4481	c	adenosine[c] + H2O[c] => inosine[c] + NH3[c]	Purine metabolism	Core
HMR_4482	s	adenosine[s] + H2O[s] => inosine[s] + NH3[s]	Purine metabolism	Core
HMR_4486	c	glucose[c] + ITP[c] => glucose-6-phosphate[c] + IDP[c]	Purine metabolism	Core
HMR_4487	c	dATP[c] + glucose[c] => dADP[c] + glucose-6-phosphate[c]	Purine metabolism	Core
HMR_4488	c	fructose[c] + ITP[c] => fructose-6-phosphate[c] + IDP[c]	Purine metabolism	Core
HMR_4489	c	dATP[c] + fructose[c] => dADP[c] + fructose-6-phosphate[c]	Purine metabolism	Core
HMR_4492	c	ITP[c] + mannose[c] => IDP[c] + mannose-6-phosphate[c]	Purine metabolism	Core
HMR_4493	c	dATP[c] + mannose[c] => dADP[c] + mannose-6-phosphate[c]	Purine metabolism	Core
HMR_4495	c	glucosamine[c] + ITP[c] => glucosamine-6-phosphate[c] + IDP[c]	Purine metabolism	Core
HMR_4496	c	dATP[c] + glucosamine[c] => dADP[c] + glucosamine-6-phosphate[c]	Purine metabolism	Core
HMR_4573	c	dGDP[c] + PEP[c] => dGTP[c] + pyruvate[c]	Purine metabolism	Core
HMR_4574	c	inosine[c] + Pi[c] <=> hypoxanthine[c] + ribose-1-phosphate[c]	Purine metabolism	Core
HMR_4600	c	ATP[c] + deoxyguanosine[c] => ADP[c] + dGMP[c]	Purine metabolism	Core
HMR_4602	c	dGMP[c] + H2O[c] => deoxyguanosine[c] + Pi[c]	Purine metabolism	Core
HMR_4603	c	2-deoxy-D-ribose-1-phosphate[c] + guanine[c] <=> deoxyguanosine[c] + Pi[c]	Purine metabolism	Core
HMR_4611	c	ATP[c] + thioredoxin[c] => dATP[c] + H2O[c] + oxidized thioredoxin[c]	Purine metabolism	Core
HMR_4612	c	ADP[c] + thioredoxin[c] => dADP[c] + H2O[c] + oxidized thioredoxin[c]	Purine metabolism	Core
HMR_4614	c	GTP[c] + thioredoxin[c] => dGTP[c] + H2O[c] + oxidized thioredoxin[c]	Purine metabolism	Core
HMR_4615	c	GDP[c] + thioredoxin[c] => dGDP[c] + H2O[c] + oxidized thioredoxin[c]	Purine metabolism	Core
HMR_4617	c	CTP[c] + thioredoxin[c] => dCTP[c] + H2O[c] + oxidized thioredoxin[c]	Purine metabolism	Core
HMR_4618	c	thioredoxin[c] + UTP[c] => dUTP[c] + H2O[c] + oxidized thioredoxin[c]	Purine metabolism	Core
HMR_4619	c	CDP[c] + thioredoxin[c] => dCDP[c] + H2O[c] + oxidized thioredoxin[c]	Purine metabolism	Core
HMR_4621	c	thioredoxin[c] + UDP[c] => dUDP[c] + H2O[c] + oxidized thioredoxin[c]	Purine metabolism	Core
HMR_4632	c	dAMP[c] + H2O[c] => deoxyadenosine[c] + Pi[c]	Purine metabolism	Core
HMR_4651	c	guanosine[c] + Pi[c] <=> guanine[c] + ribose-1-phosphate[c]	Purine metabolism	Core
HMR_4663	c	Pi[c] + xanthosine[c] <=> ribose-1-phosphate[c] + xanthine[c]	Purine metabolism	Core
HMR_4694	c	deoxyadenosine[c] + H2O[c] => deoxyinosine[c] + NH3[c]	Purine metabolism	Core
HMR_4695	c	2-deoxy-D-ribose-1-phosphate[c] + adenine[c] <=> deoxyadenosine[c] + Pi[c]	Purine metabolism	Core
HMR_4705	c	H2O[c] + xanthosine-5-phosphate[c] => Pi[c] + xanthosine[c]	Purine metabolism	Core
HMR_4709	c	2-deoxy-D-ribose-1-phosphate[c] + hypoxanthine[c] <=> deoxyinosine[c] + Pi[c]	Purine metabolism	Core
HMR_4799	c	5-phosphoribosylamine[c] + ATP[c] + glycine[c] => ADP[c] + GAR[c] + Pi[c]	Purine metabolism	Core
HMR_4802	c	5-phosphoribosylformylglycinamidine[c] + ATP[c] => ADP[c] + AIR[c] + Pi[c]	Purine metabolism	Core
HMR_4804	c	5-phosphoribosyl-4-carboxy-5-aminoimidazole[c] <=> AIR[c] + CO2[c]	Purine metabolism	Core
HMR_4808	c	ATP[c] + glutamine[c] + H2O[c] + N-formyl-GAR[c] => 5-phosphoribosylformylglycinamidine[c] + ADP[c] + glutamate[c] + Pi[c]	Purine metabolism	Core
HMR_4810	c	5-phosphoribosyl-4-carboxy-5-aminoimidazole[c] + aspartate[c] + ATP[c] => ADP[c] + Pi[c] + SAICAR[c]	Purine metabolism	Core
HMR_4812	c	AICAR[c] + fumarate[c] <=> SAICAR[c]	Purine metabolism	Core
HMR_4814	c	10-formyl-THF[c] + AICAR[c] <=> FAICAR[c] + THF[c]	Purine metabolism	Core
HMR_5301	c	GTP[c] + uridine[c] => GDP[c] + UMP[c]	Purine metabolism	Core
HMR_5353	c	ADP[c] + dGDP[c] <=> ATP[c] + dGMP[c]	Purine metabolism	Core
HMR_6602	c	H2O2[c] + urate[c] <=> alloxan[c] + urea[c]	Purine metabolism	Core
HMR_6603	s	H2O2[s] + urate[s] <=> alloxan[s] + urea[s]	Purine metabolism	Core
HMR_4016	c	ADP[c] + GTP[c] <=> ATP[c] + GDP[c]	Purine metabolism	Core
HMR_4018	m	ADP[m] + GTP[m] <=> ATP[m] + GDP[m]	Purine metabolism	Core
HMR_4044	c	ADP[c] + dATP[c] <=> ATP[c] + dADP[c]	Purine metabolism	Core
HMR_4291	c	ADP[c] + ITP[c] <=> ATP[c] + IDP[c]	Purine metabolism	Core
HMR_4420	m	ADP[m] + dATP[m] => ATP[m] + dADP[m]	Purine metabolism	Core
HMR_4570	c	ADP[c] + dGTP[c] <=> ATP[c] + dGDP[c]	Purine metabolism	Core
HMR_4572	m	ADP[m] + dGTP[m] => ATP[m] + dGDP[m]	Purine metabolism	Core
HMR_4006	c	ADP[c] + UTP[c] <=> ATP[c] + UDP[c]	Pyrimidine metabolism	Core
HMR_4028	c	ADP[c] + CTP[c] <=> ATP[c] + CDP[c]	Pyrimidine metabolism	Core
HMR_4030	m	ADP[m] + CTP[m] <=> ATP[m] + CDP[m]	Pyrimidine metabolism	Core
HMR_4670	c	ADP[c] + dCTP[c] <=> ATP[c] + dCDP[c]	Pyrimidine metabolism	Core
HMR_4673	c	ADP[c] + dUTP[c] <=> ATP[c] + dUDP[c]	Pyrimidine metabolism	Core
HMR_4675	m	ATP[m] + dUDP[m] => ADP[m] + dUTP[m]	Pyrimidine metabolism	Core
HMR_6614	c	dADP[c] + dTTP[c] <=> dATP[c] + dTDP[c]	Pyrimidine metabolism	Core
HMR_6615	m	dADP[m] + dTTP[m] <=> dATP[m] + dTDP[m]	Pyrimidine metabolism	Core
HMR_6616	n	dADP[n] + dTTP[n] <=> dATP[n] + dTDP[n]	Pyrimidine metabolism	Core
HMR_4635	c	ADP[c] + dTTP[c] <=> ATP[c] + dTDP[c]	Pyrimidine metabolism	Core
