RxnID	Comps	Eq	Subs	Type	Class
HMR_8592	l	H2O[l] + maltotriose[l] => glucose[l] + maltose[l]	Starch and sucrose metabolism	Pan	Facultative
HMR_8580	c	H2O[c] + maltotriose[c] => fructose[c] + maltose[c]	Starch and sucrose metabolism	Pan	Facultative
HMR_8582	c	H2O[c] + maltose[c] => 2 fructose[c]	Starch and sucrose metabolism	Pan	Facultative
HMR_8589	l	H2O[l] + maltose[l] => 2 glucose[l]	Starch and sucrose metabolism	Pan	Facultative
HMR_8583	s	8 H2O[s] + starch structure 1[s] => 8 glucose[s] + starch structure 2[s]	Starch and sucrose metabolism	Pan	Facultative
HMR_8584	s	H2O[s] + starch structure 2[s] => glucose[s] + maltose[s]	Starch and sucrose metabolism	Pan	Facultative
HMR_8585	c	1,3-bisphospho-D-glycerate[c] + glucose-1-phosphate[c] => 3-phospho-D-glycerate[c] + glucose-1,6-bisphosphate[c]	Starch and sucrose metabolism	Pan	Facultative
HMR_4415	s	H2O[s] + lactose[s] => galactose[s] + glucose[s]	Galactose metabolism	Pan	Facultative
HMR_7674	g	glucose[g] + UDP-galactose[g] => lactose[g] + UDP[g]	Galactose metabolism	Pan	Facultative
HMR_8761	c	ATP[c] + D-tagatose[c] => ADP[c] + D-tagatose-6-phosphate[c]	Galactose metabolism	Pan	Facultative
HMR_0454	c	ATP[c] + glyceraldehyde[c] => ADP[c] + GAP[c]	Fructose and Mannose metabolism	Pan	Facultative
HMR_4593	c	NAD+[c] + xylitol[c] => D-xylulose[c] + H+[c] + NADH[c]	Pentose and glucuronate interconversions	Pan	Facultative
HMR_4595	c	ADP[c] + D-xylulose-5-phosphate[c] <=> ATP[c] + D-xylulose[c]	Pentose and glucuronate interconversions	Pan	Facultative
HMR_8341	c	H+[c] + L-arabinose[c] + NADPH[c] => L-arabitol[c] + NADP+[c]	Pentose and glucuronate interconversions	Pan	Facultative
HMR_8342	c	H+[c] + L-xylulose[c] + NADH[c] <=> L-arabitol[c] + NAD+[c]	Pentose and glucuronate interconversions	Pan	Facultative
HMR_8344	r	glucuronate[r] + H+[r] + NADPH[r] <=> L-gulonate[r] + NADP+[r]	Pentose and glucuronate interconversions	Pan	Facultative
HMR_8352	c	3-dehydro-L-gulonate[c] + H+[c] + NADH[c] <=> L-gulonate[c] + NAD+[c]	Pentose and glucuronate interconversions	Pan	Facultative
HMR_8353	c	3-dehydro-L-gulonate[c] <=> CO2[c] + L-xylulose[c]	Pentose and glucuronate interconversions	Pan	Facultative
HMR_8726	c	ATP[c] + D-ribulose[c] => ADP[c] + ribulose-5-phosphate[c]	Pentose and glucuronate interconversions	Pan	Facultative
HMR_8728	c	D-glucuronate 1-phosphate[c] + H2O[c] => glucuronate[c] + Pi[c]	Pentose and glucuronate interconversions	Pan	Facultative
HMR_3854	c	H+[c] + methylglyoxal[c] + NADH[c] => lactaldehyde[c] + NAD+[c]	Pyruvate metabolism	Pan	Facultative
HMR_4089	c	malate[c] + NADP+[c] => CO2[c] + H+[c] + NADPH[c] + pyruvate[c]	Pyruvate metabolism	Pan	Facultative
HMR_4095	m	acetyl-CoA[m] + H2O[m] => acetate[m] + CoA[m]	Pyruvate metabolism	Pan	Facultative
HMR_4101	c	GTP[c] + OAA[c] => CO2[c] + GDP[c] + PEP[c]	Pyruvate metabolism	Pan	Facultative
HMR_8498	c	acetone[c] + H+[c] + NADPH[c] + O2[c] => H2O[c] + hydroxyacetone[c] + NADP+[c]	Pyruvate metabolism	Pan	Facultative
HMR_8499	c	H+[c] + hydroxyacetone[c] + NADPH[c] + O2[c] => 2 H2O[c] + methylglyoxal[c] + NADP+[c]	Pyruvate metabolism	Pan	Facultative
HMR_8506	m	H2O[m] + lactaldehyde[m] + NAD+[m] => H+[m] + L-lactate[m] + NADH[m]	Pyruvate metabolism	Pan	Facultative
HMR_8511	m	(R)-S-lactoylglutathione[m] + H2O[m] => D-lactate[m] + GSH[m]	Pyruvate metabolism	Pan	Facultative
HMR_8512	c	D-lactate[c] + NAD+[c] <=> H+[c] + NADH[c] + pyruvate[c]	Pyruvate metabolism	Pan	Facultative
HMR_8517	c	GAP[c] => methylglyoxal[c] + Pi[c]	Pyruvate metabolism	Pan	Facultative
HMR_3800	m	2-oxobutyrate[m] + CoA[m] + NAD+[m] => CO2[m] + H+[m] + NADH[m] + propanoyl-CoA[m]	Propanoate metabolism	Pan	Facultative
HMR_4107	p	malonyl-CoA[p] => acetyl-CoA[p] + CO2[p]	Propanoate metabolism	Pan	Facultative
HMR_4464	m	acetoacetate[m] => acetone[m] + CO2[m]	Propanoate metabolism	Pan	Facultative
HMR_8078	c	H2O[c] + OAA[c] + propanoyl-CoA[c] => 2-methylcitrate[c] + CoA[c]	Propanoate metabolism	Pan	Facultative
HMR_9803	m	H+[m] + malonyl-CoA[m] + NADPH[m] <=> H2O[m] + NADP+[m] + 3-oxopropionyl-CoA[m]	Propanoate metabolism	Pan	Facultative
HMR_4304	r	glucose-6-phosphate[r] + NADP+[r] => glucono-1,5-lactone-6-phosphate[r] + H+[r] + NADPH[r]	Pentose phosphate pathway	Pan	Facultative
HMR_4473	r	6-phospho-D-gluconate[r] + NADP+[r] => CO2[r] + H+[r] + NADPH[r] + ribulose-5-phosphate[r]	Pentose phosphate pathway	Pan	Facultative
HMR_4623	r	glucono-1,5-lactone-6-phosphate[r] + H2O[r] => 6-phospho-D-gluconate[r]	Pentose phosphate pathway	Pan	Facultative
HMR_8074	c	ATP[c] + deoxyribose[c] => 2-deoxy-D-ribose-5-phosphate[c] + ADP[c]	Pentose phosphate pathway	Pan	Facultative
HMR_4082	m	AMP[m] + H2O[m] => adenosine[m] + Pi[m]	Purine metabolism	Pan	Facultative
HMR_4518	c	guanine[c] + H2O[c] => NH3[c] + xanthine[c]	Purine metabolism	Pan	Facultative
HMR_4519	c	H2O[c] + hypoxanthine[c] + NAD+[c] => H+[c] + NADH[c] + xanthine[c]	Purine metabolism	Pan	Facultative
HMR_4520	c	H2O[c] + hypoxanthine[c] + O2[c] => H2O2[c] + xanthine[c]	Purine metabolism	Pan	Facultative
HMR_4646	c	H2O[c] + NAD+[c] + xanthine[c] => H+[c] + NADH[c] + urate[c]	Purine metabolism	Pan	Facultative
HMR_4648	p	H2O[p] + NAD+[p] + xanthine[p] => H+[p] + NADH[p] + urate[p]	Purine metabolism	Pan	Facultative
HMR_4649	c	H2O[c] + O2[c] + xanthine[c] => H2O2[c] + urate[c]	Purine metabolism	Pan	Facultative
HMR_4650	p	H2O[p] + O2[p] + xanthine[p] => H2O2[p] + urate[p]	Purine metabolism	Pan	Facultative
HMR_4664	c	PRPP[c] + xanthine[c] => PPi[c] + xanthosine-5-phosphate[c]	Purine metabolism	Pan	Facultative
HMR_6605	c	H2O[c] + urate radical[c] <=> hydroxide[c] + urate[c]	Purine metabolism	Pan	Facultative
HMR_6606	c	ascorbate[c] + urate radical[c] <=> monodehydroascorbate[c] + urate[c]	Purine metabolism	Pan	Facultative
HMR_6607	c	H2O[c] + urate radical[c] <=> hydroxyl radical[c] + urate[c]	Purine metabolism	Pan	Facultative
HMR_6609	c	allantoin[c] + H2O[c] <=> allantoate[c]	Purine metabolism	Pan	Facultative
HMR_6611	c	H2O[c] + O2[c] + urate[c] <=> 5-hydroxyisourate[c] + H2O2[c]	Purine metabolism	Pan	Facultative
HMR_7144	c	ADP-ribose[c] + H2O[c] => AMP[c] + ribose-5-phosphate[c]	Purine metabolism	Pan	Facultative
HMR_8755	p	H2O[p] + hypoxanthine[p] + O2[p] => H2O2[p] + xanthine[p]	Purine metabolism	Pan	Facultative
HMR_9797	c	adenine[c] + H2O[c] => hypoxanthine[c] + NH3[c]	Purine metabolism	Pan	Facultative
HMR_3793	m	2-methyl-3-oxopropanoate[m] + alanine[m] <=> D-3-amino-isobutanoate[m] + pyruvate[m]	Pyrimidine metabolism	Pan	Facultative
HMR_4059	r	H2O[r] + UDP[r] => Pi[r] + UMP[r]	Pyrimidine metabolism	Pan	Facultative
HMR_4183	s	CDP[s] + H2O[s] => CMP[s] + Pi[s]	Pyrimidine metabolism	Pan	Facultative
HMR_4192	s	CTP[s] + H2O[s] => CDP[s] + Pi[s]	Pyrimidine metabolism	Pan	Facultative
HMR_4343	c	PRPP[c] + uracil[c] => PPi[c] + UMP[c]	Pyrimidine metabolism	Pan	Facultative
HMR_4345	c	5,6-Dihydrouracil[c] + NADP+[c] <=> H+[c] + NADPH[c] + uracil[c]	Pyrimidine metabolism	Pan	Facultative
HMR_4346	c	5,6-Dihydrouracil[c] + H2O[c] => 3-ureidopropionate[c]	Pyrimidine metabolism	Pan	Facultative
HMR_4470	c	H+[c] + NADH[c] + thymine[c] => dihydrothymine[c] + NAD+[c]	Pyrimidine metabolism	Pan	Facultative
HMR_4471	m	H+[m] + NADH[m] + thymine[m] => dihydrothymine[m] + NAD+[m]	Pyrimidine metabolism	Pan	Facultative
HMR_4472	c	H+[c] + NADPH[c] + thymine[c] => dihydrothymine[c] + NADP+[c]	Pyrimidine metabolism	Pan	Facultative
HMR_4514	c	deoxycytidine[c] + H2O[c] => deoxyuridine[c] + NH3[c]	Pyrimidine metabolism	Pan	Facultative
HMR_4579	c	Pi[c] + uridine[c] <=> ribose-1-phosphate[c] + uracil[c]	Pyrimidine metabolism	Pan	Facultative
HMR_4580	c	cytidine[c] + H2O[c] => NH3[c] + uridine[c]	Pyrimidine metabolism	Pan	Facultative
HMR_4672	c	dCTP[c] + H2O[c] => dUTP[c] + NH3[c]	Pyrimidine metabolism	Pan	Facultative
HMR_4736	c	dihydrothymine[c] + H2O[c] => 3-ureidoisobutyrate[c]	Pyrimidine metabolism	Pan	Facultative
HMR_4819	c	3-ureidoisobutyrate[c] + H2O[c] => CO2[c] + D-3-amino-isobutanoate[c] + NH3[c]	Pyrimidine metabolism	Pan	Facultative
HMR_6622	n	thioredoxin[n] + UTP[n] => dUTP[n] + H2O[n] + oxidized thioredoxin[n]	Pyrimidine metabolism	Pan	Facultative
HMR_8072	c	2-deoxy-D-ribose-1-phosphate[c] + H2O[c] => deoxyribose[c] + Pi[c]	Pyrimidine metabolism	Pan	Facultative
HMR_8637	c	cytosine[c] + H2O[c] => NH3[c] + uracil[c]	Pyrimidine metabolism	Pan	Facultative
HMR_4083	m	adenosine[m] + ATP[m] => ADP[m] + AMP[m]	Nucleotide metabolism	Pan	Facultative
HMR_4344	c	5,6-Dihydrouracil[c] + NAD+[c] <=> H+[c] + NADH[c] + uracil[c]	Nucleotide metabolism	Pan	Facultative
HMR_4633	c	ATP[c] + deoxyadenosine[c] => ADP[c] + dAMP[c]	Nucleotide metabolism	Pan	Facultative
HMR_4680	c	2-deoxy-D-ribose-1-phosphate[c] + uracil[c] <=> deoxyuridine[c] + Pi[c]	Nucleotide metabolism	Pan	Facultative
HMR_5394	c	guanosine[c] + H2O[c] => NH3[c] + xanthosine[c]	Nucleotide metabolism	Pan	Facultative
HMR_7713	l	AMP[l] + H2O[l] => adenosine[l] + Pi[l]	Nucleotide metabolism	Pan	Facultative
HMR_7716	l	H2O[l] + UMP[l] => Pi[l] + uridine[l]	Nucleotide metabolism	Pan	Facultative
HMR_7717	m	H2O[m] + UMP[m] => Pi[m] + uridine[m]	Nucleotide metabolism	Pan	Facultative
HMR_7721	l	CMP[l] + H2O[l] => cytidine[l] + Pi[l]	Nucleotide metabolism	Pan	Facultative
HMR_7725	l	dTMP[l] + H2O[l] => Pi[l] + thymidine[l]	Nucleotide metabolism	Pan	Facultative
HMR_7728	l	GMP[l] + H2O[l] => guanosine[l] + Pi[l]	Nucleotide metabolism	Pan	Facultative
HMR_7800	c	ADP[c] + GDP[c] <=> AMP[c] + GTP[c]	Nucleotide metabolism	Pan	Facultative
HMR_7802	c	2 dADP[c] <=> dAMP[c] + dATP[c]	Nucleotide metabolism	Pan	Facultative
HMR_7875	m	ADP[m] + UDP[m] <=> ATP[m] + UMP[m]	Nucleotide metabolism	Pan	Facultative
HMR_7879	c	dITP[c] + H+[c] + H2O[c] => dIMP[c] + PPi[c]	Nucleotide metabolism	Pan	Facultative
HMR_7880	c	dIMP[c] + H2O[c] => deoxyinosine[c] + H+[c] + Pi[c]	Nucleotide metabolism	Pan	Facultative
HMR_8083	n	cGMP[n] + H2O[n] => GMP[n]	Nucleotide metabolism	Pan	Facultative
HMR_8085	g	cGMP[g] + H2O[g] => GMP[g]	Nucleotide metabolism	Pan	Facultative
HMR_8087	g	cAMP[g] + H2O[g] => AMP[g]	Nucleotide metabolism	Pan	Facultative
HMR_8443	c	ADP-glucose[c] + H2O[c] => AMP[c] + glucose-1-phosphate[c]	Nucleotide metabolism	Pan	Facultative
HMR_8444	c	ADP-mannose[c] + H2O[c] => AMP[c] + mannose-1-phosphate[c]	Nucleotide metabolism	Pan	Facultative
HMR_8461	c	dCDP[c] + GDP[c] <=> dCMP[c] + GTP[c]	Nucleotide metabolism	Pan	Facultative
HMR_8473	s	deoxyadenosine[s] + H2O[s] => deoxyinosine[s] + NH3[s]	Nucleotide metabolism	Pan	Facultative
HMR_8474	s	ATP[s] + 2 H2O[s] => AMP[s] + 2 Pi[s]	Nucleotide metabolism	Pan	Facultative
HMR_8480	n	deoxycytidine[n] + H2O[n] => deoxyuridine[n] + NH3[n]	Nucleotide metabolism	Pan	Facultative
HMR_8481	m	dADP[m] + dGDP[m] <=> dATP[m] + dGMP[m]	Nucleotide metabolism	Pan	Facultative
HMR_8482	m	H+[m] + NADPH[m] + oxidized thioredoxin[m] => NADP+[m] + thioredoxin[m]	Nucleotide metabolism	Pan	Facultative
HMR_8483	n	dUTP[n] + H2O[n] => dUMP[n] + PPi[n]	Nucleotide metabolism	Pan	Facultative
HMR_8485	g	H2O[g] + UDP[g] => Pi[g] + UMP[g]	Nucleotide metabolism	Pan	Facultative
HMR_8488	c	H2O[c] + XTP[c] => PPi[c] + xanthosine-5-phosphate[c]	Nucleotide metabolism	Pan	Facultative
HMR_8489	c	H2O[c] + ITP[c] => IMP[c] + PPi[c]	Nucleotide metabolism	Pan	Facultative
HMR_3811	c	aspartate[c] + ATP[c] + citrulline[c] => AMP[c] + argininosuccinate[c] + PPi[c]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_3862	m	asparagine[m] + H2O[m] => aspartate[m] + NH3[m]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_3865	m	3-sulfinoalanine[m] + AKG[m] => 3-sulfinylpyruvic acid[m] + glutamate[m]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_3873	m	2 ATP[m] + CO2[m] + H2O[m] + NH3[m] => 2 ADP[m] + carbamoyl-phosphate[m] + Pi[m]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_8654	m	2 ATP[m] + H+[m] + HCO3-[m] + NH3[m] => 2 ADP[m] + carbamoyl-phosphate[m] + Pi[m]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_3892	m	glutamine[m] + H2O[m] => glutamate[m] + NH3[m]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_9802	c	glutamine[c] + H2O[c] => glutamate[c] + NH3[c]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_3899	c	AKG[c] + alanine[c] <=> glutamate[c] + pyruvate[c]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_4114	c	2-oxoglutaramate[c] + H2O[c] => AKG[c] + NH3[c]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_4115	m	2-oxoglutaramate[m] + H2O[m] => AKG[m] + NH3[m]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_4172	c	asparagine[c] + H2O[c] => aspartate[c] + NH3[c]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_4196	c	glutamine[c] + pyruvate[c] => 2-oxoglutaramate[c] + alanine[c]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_4197	m	glutamine[m] + pyruvate[m] => 2-oxoglutaramate[m] + alanine[m]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_4287	m	H2O[m] + NADP+[m] + succinate semialdehyde[m] => H+[m] + NADPH[m] + succinate[m]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_4690	c	glutamate[c] => 4-aminobutyrate[c] + CO2[c]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_4693	m	4-aminobutyrate[m] + AKG[m] <=> glutamate[m] + succinate semialdehyde[m]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_6780	m	AKG[m] + tyrosine[m] => 4-hydroxyphenylpyruvate[m] + glutamate[m]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_7641	p	D-aspartate[p] + H2O[p] + O2[p] => H2O2[p] + NH3[p] + OAA[p]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_8626	m	acetyl-CoA[m] + aspartate[m] => CoA[m] + N-acetyl-L-aspartate[m]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_8628	c	H2O[c] + N-acetyl-L-aspartate[c] => acetate[c] + aspartate[c]	Alanine, aspartate and glutamate metabolism	Pan	Facultative
HMR_3809	m	citrulline[m] + Pi[m] <=> carbamoyl-phosphate[m] + ornithine[m]	Arginine and proline metabolism	Pan	Facultative
HMR_3833	c	1-pyrroline-5-carboxylate[c] + H+[c] + NADPH[c] => NADP+[c] + proline[c]	Arginine and proline metabolism	Pan	Facultative
HMR_3835	c	1-pyrroline-5-carboxylate[c] + H+[c] + NADH[c] => NAD+[c] + proline[c]	Arginine and proline metabolism	Pan	Facultative
HMR_3838	m	1-pyrroline-5-carboxylate[m] + ubiquinol[m] <=> proline[m] + ubiquinone[m]	Arginine and proline metabolism	Pan	Facultative
HMR_3993	c	H+[c] + 2 N-(omega)-hydroxyarginine[c] + NADPH[c] + 2 O2[c] => 2 citrulline[c] + 2 H2O[c] + NADP+[c] + 2 NO[c]	Arginine and proline metabolism	Pan	Facultative
HMR_4190	c	arginine[c] + H+[c] + NADPH[c] + O2[c] <=> H2O[c] + N-(omega)-hydroxyarginine[c] + NADP+[c]	Arginine and proline metabolism	Pan	Facultative
HMR_4191	m	arginine[m] => agmatine[m] + CO2[m]	Arginine and proline metabolism	Pan	Facultative
HMR_4423	s	H2O[s] + O2[s] + putrescine[s] => 4-aminobutanal[s] + H2O2[s] + NH3[s]	Arginine and proline metabolism	Pan	Facultative
HMR_4424	m	agmatine[m] + H2O[m] => putrescine[m] + urea[m]	Arginine and proline metabolism	Pan	Facultative
HMR_4583	c	creatine[c] + SAH[c] <=> guanidinoacetate[c] + SAM[c]	Arginine and proline metabolism	Pan	Facultative
HMR_4606	c	4-aminobutyrate[c] + ATP[c] + histidine[c] => AMP[c] + homocarnosine[c] + PPi[c]	Arginine and proline metabolism	Pan	Facultative
HMR_4607	c	H2O[c] + homocarnosine[c] => 4-aminobutyrate[c] + histidine[c]	Arginine and proline metabolism	Pan	Facultative
HMR_4782	c	2 H+[c] + O2[c] + trans-4-hydroxy-L-proline[c] => 2 H2O[c] + L-1-pyrroline-3-hydroxy-5-carboxylate[c]	Arginine and proline metabolism	Pan	Facultative
HMR_4783	m	2 H+[m] + O2[m] + trans-4-hydroxy-L-proline[m] => 2 H2O[m] + L-1-pyrroline-3-hydroxy-5-carboxylate[m]	Arginine and proline metabolism	Pan	Facultative
HMR_4787	m	4-hydroxy-2-oxoglutarate[m] => glyoxalate[m] + pyruvate[m]	Arginine and proline metabolism	Pan	Facultative
HMR_5384	c	5-methylthioadenosine[c] + Pi[c] => adenine[c] + methylthioribose-1p[c]	Arginine and proline metabolism	Pan	Facultative
HMR_6931	c	H2O[c] + O2[c] + spermine[c] => H2O2[c] + NH3[c] + spermine monoaldehyde[c]	Arginine and proline metabolism	Pan	Facultative
HMR_6932	s	H2O[s] + O2[s] + spermine[s] => H2O2[s] + NH3[s] + spermine monoaldehyde[s]	Arginine and proline metabolism	Pan	Facultative
HMR_6933	p	H2O[p] + O2[p] + spermine[p] => H2O2[p] + NH3[p] + spermine monoaldehyde[p]	Arginine and proline metabolism	Pan	Facultative
HMR_6934	c	H2O[c] + O2[c] + spermine monoaldehyde[c] => H2O2[c] + NH3[c] + spermine dialdehyde[c]	Arginine and proline metabolism	Pan	Facultative
HMR_6935	s	H2O[s] + O2[s] + spermine monoaldehyde[s] => H2O2[s] + NH3[s] + spermine dialdehyde[s]	Arginine and proline metabolism	Pan	Facultative
HMR_6936	p	H2O[p] + O2[p] + spermine monoaldehyde[p] => H2O2[p] + NH3[p] + spermine dialdehyde[p]	Arginine and proline metabolism	Pan	Facultative
HMR_6941	c	H2O[c] + O2[c] + spermidine[c] => H2O2[c] + NH3[c] + spermidine monoaldehyde 1[c]	Arginine and proline metabolism	Pan	Facultative
HMR_6942	s	H2O[s] + O2[s] + spermidine[s] => H2O2[s] + NH3[s] + spermidine monoaldehyde 1[s]	Arginine and proline metabolism	Pan	Facultative
HMR_6943	p	H2O[p] + O2[p] + spermidine[p] => H2O2[p] + NH3[p] + spermidine monoaldehyde 1[p]	Arginine and proline metabolism	Pan	Facultative
HMR_6944	c	H2O[c] + O2[c] + spermidine[c] => H2O2[c] + NH3[c] + spermidine monoaldehyde 2[c]	Arginine and proline metabolism	Pan	Facultative
HMR_6945	s	H2O[s] + O2[s] + spermidine[s] => H2O2[s] + NH3[s] + spermidine monoaldehyde 2[s]	Arginine and proline metabolism	Pan	Facultative
HMR_6946	p	H2O[p] + O2[p] + spermidine[p] => H2O2[p] + NH3[p] + spermidine monoaldehyde 2[p]	Arginine and proline metabolism	Pan	Facultative
HMR_6947	c	H2O[c] + O2[c] + spermidine monoaldehyde 1[c] => H2O2[c] + NH3[c] + spermidine dialdehyde[c]	Arginine and proline metabolism	Pan	Facultative
HMR_6948	s	H2O[s] + O2[s] + spermidine monoaldehyde 1[s] => H2O2[s] + NH3[s] + spermidine dialdehyde[s]	Arginine and proline metabolism	Pan	Facultative
HMR_6949	p	H2O[p] + O2[p] + spermidine monoaldehyde 1[p] => H2O2[p] + NH3[p] + spermidine dialdehyde[p]	Arginine and proline metabolism	Pan	Facultative
HMR_6950	c	H2O[c] + O2[c] + spermidine monoaldehyde 2[c] => H2O2[c] + NH3[c] + spermidine dialdehyde[c]	Arginine and proline metabolism	Pan	Facultative
HMR_6951	s	H2O[s] + O2[s] + spermidine monoaldehyde 2[s] => H2O2[s] + NH3[s] + spermidine dialdehyde[s]	Arginine and proline metabolism	Pan	Facultative
HMR_6952	p	H2O[p] + O2[p] + spermidine monoaldehyde 2[p] => H2O2[p] + NH3[p] + spermidine dialdehyde[p]	Arginine and proline metabolism	Pan	Facultative
HMR_6956	c	CoA[c] + N1,N12-diacetylspermine[c] <=> acetyl-CoA[c] + N1-acetylspermine[c]	Arginine and proline metabolism	Pan	Facultative
HMR_6957	p	CoA[p] + N1,N12-diacetylspermine[p] <=> acetyl-CoA[p] + N1-acetylspermine[p]	Arginine and proline metabolism	Pan	Facultative
HMR_6958	c	H2O[c] + N1-acetylspermine[c] + O2[c] => acetamidopropanal[c] + H2O2[c] + spermidine[c]	Arginine and proline metabolism	Pan	Facultative
HMR_6959	p	H2O[p] + N1-acetylspermine[p] + O2[p] => acetamidopropanal[p] + H2O2[p] + spermidine[p]	Arginine and proline metabolism	Pan	Facultative
HMR_6961	c	H2O[c] + N1-acetylspermidine[c] + O2[c] => acetamidopropanal[c] + H2O2[c] + putrescine[c]	Arginine and proline metabolism	Pan	Facultative
HMR_6963	c	H2O[c] + N1,N12-diacetylspermine[c] + O2[c] => acetamidopropanal[c] + H2O2[c] + N1-acetylspermidine[c]	Arginine and proline metabolism	Pan	Facultative
HMR_6964	p	H2O[p] + N1,N12-diacetylspermine[p] + O2[p] => acetamidopropanal[p] + H2O2[p] + N1-acetylspermidine[p]	Arginine and proline metabolism	Pan	Facultative
HMR_8432	m	FAD[m] + sarcosine[m] + THF[m] => 5,10-methylene-THF[m] + FADH2[m] + glycine[m]	Arginine and proline metabolism	Pan	Facultative
